YEAR,Month,Date,ST5-00,ST10-00,ST20-00,ST50-00,ST5-12,ST10-12,ST20-12,ST50-12,ST5-00_interp_flag,ST10-00_interp_flag,ST20-00_interp_flag,ST50-00_interp_flag,ST5-12_interp_flag,ST10-12_interp_flag,ST20-12_interp_flag,ST50-12_interp_flag
1993,January,1,14,16.6,17.6,19.3,16,16.4,17.2,19.3,0,0,0,0,0,0,0,0
1993,January,2,13.2,16.6,17.4,19.4,16.4,16.4,17.2,19.4,0,0,0,0,0,0,0,0
1993,January,3,19.7,16.6,17.8,19.4,16,16.6,17.4,19.6,0,0,0,0,0,0,0,0
1993,January,4,12.6,16.8,17.8,19.4,16.2,16.4,17.6,19.3,0,0,0,0,0,0,0,0
1993,January,5,13,16.8,17.8,19.4,16.2,16.8,17.6,19.4,0,0,0,0,0,0,0,0
1993,January,6,13.6,17.2,17.8,19.4,16.6,17.2,17.6,19.4,0,0,0,0,0,0,0,0
1993,January,7,14,17.4,18,19.4,17.8,17.4,17.8,19.4,0,0,0,0,0,0,0,0
1993,January,8,14.8,17.6,18.4,19.5,17.7,17.4,18.2,19.5,0,0,0,0,0,0,0,0
1993,January,9,17.8,18.2,18.8,19.5,18.4,18,18.4,19.5,0,0,0,0,0,0,0,0
1993,January,10,14.6,18.4,18,19.4,18.4,18.4,18.4,19.4,0,0,0,0,0,0,0,0
1993,January,11,15.4,18.2,19.5,19.2,18.4,18.4,19.5,19.2,0,0,0,0,0,0,0,0
1993,January,12,16.4,18.2,18.7,19.2,19.2,17.8,19,19.2,0,0,0,0,0,0,0,0
1993,January,13,15.4,18.4,19,19.4,19.4,18.2,19,19.4,0,0,0,0,0,0,0,0
1993,January,14,17.2,18,19.4,19.2,18,18.4,18.9,19.2,0,0,0,0,0,0,0,0
1993,January,15,18.4,18.6,19.4,19.2,16.8,18.4,18.6,19.2,0,0,0,0,0,0,0,0
1993,January,16,16,18,18.6,19.2,16.8,18,18.4,19.2,0,0,0,0,0,0,0,0
1993,January,17,15,18.8,19.3,19.2,17.2,18.6,19.6,19.2,0,0,0,0,0,0,0,0
1993,January,18,15.8,18.6,19.2,19.4,18.4,18.6,19,19.4,0,0,0,0,0,0,0,0
1993,January,19,16.8,18.6,19.4,19.4,19.2,18.4,19,19.4,0,0,0,0,0,0,0,0
1993,January,20,18.1,18.6,19.6,19.5,19.4,18.6,19.4,19.5,0,0,0,0,0,0,0,0
1993,January,21,17,18.8,19.6,19.2,18.6,18.6,19.4,19.2,0,0,0,0,0,0,0,0
1993,January,22,15.8,18.8,19.7,19.7,17.4,18.7,19.8,19.7,0,0,0,0,0,0,0,0
1993,January,23,15.9,18.8,19.4,19.7,18.8,18.6,19.2,19.7,0,0,0,0,0,0,0,0
1993,January,24,16.8,18.6,19.6,19,19.3,18.4,19.5,19.4,0,0,0,0,0,0,0,0
1993,January,25,17,18.5,18.5,19.8,19.4,18.6,19.5,19.8,0,0,0,0,0,0,0,0
1993,January,26,16.8,18.2,19.2,19.8,18,18.4,19,19.8,0,0,0,0,0,0,0,0
1993,January,27,19.5,18.4,19.4,19.4,17.2,18.4,19.2,19.4,0,0,0,0,0,0,0,0
1993,January,28,15.8,18.6,19.4,20,18.4,18.4,19.2,20,0,0,0,0,0,0,0,0
1993,January,29,16.2,18.4,19.2,20.1,17.4,18.4,19,20.1,0,0,0,0,0,0,0,0
1993,January,30,16,18.6,19.7,20.1,18,18.9,19.6,20.2,0,0,0,0,0,0,0,0
1993,January,31,16,18.1,18.8,19.5,17.8,18,18.7,19.5,0,0,0,0,0,0,0,0
1993,February,1,15,18.8,19.6,20.5,17.6,18.8,19.4,20.5,0,0,0,0,0,0,0,0
1993,February,2,14.6,19.2,20,20.7,17.2,19.2,20,20.7,0,0,0,0,0,0,0,0
1993,February,3,14.6,19.4,20.2,20.6,17.2,19.4,20,20.6,0,0,0,0,0,0,0,0
1993,February,4,14.8,19.4,20.2,19.9,16.2,19.2,20,19.9,0,0,0,0,0,0,0,0
1993,February,5,14.6,19.4,20.4,20.9,17.9,19.2,20,20.9,0,0,0,0,0,0,0,0
1993,February,6,14.6,19.2,19,20.8,16.8,19,19.8,20.8,0,0,0,0,0,0,0,0
1993,February,7,15.4,19.2,20,19.9,18.4,19,19.8,19.9,0,0,0,0,0,0,0,0
1993,February,8,16.6,19.2,19.2,19,19.1,19.2,19,19,0,0,0,0,0,0,0,0
1993,February,9,17.2,20.4,19.8,21,20.1,20.2,20.2,21,0,0,0,0,0,0,0,0
1993,February,10,17.4,19.4,20.4,21,18.8,19.4,20,21,0,0,0,0,0,0,0,0
1993,February,11,17.4,20.2,21,20,20,20.4,23.1,20.2,0,0,0,0,0,0,0,0
1993,February,12,19.2,19.6,20,21.2,18.8,19.4,20.2,21.2,0,0,0,0,0,0,0,0
1993,February,13,18.6,19.4,20.4,21.2,21.4,19.2,20.2,21.2,0,0,0,0,0,0,0,0
1993,February,14,19,19.2,20.2,20,21.6,18.9,19,20.7,0,0,0,0,0,0,0,0
1993,February,15,19.4,18.8,20.6,20.6,22,18.6,20.7,20.7,0,0,0,0,0,0,0,0
1993,February,16,18.8,19,20,20.6,21.4,18.8,19.8,20.6,0,0,0,0,0,0,0,0
1993,February,17,17.8,19.6,20.4,20.6,20.8,19.6,20.2,20.7,0,0,0,0,0,0,0,0
1993,February,18,17.2,20.4,20.5,20.7,20,20.4,20.4,20.7,0,0,0,0,0,0,0,0
1993,February,19,17.4,20.8,21.6,20.8,20.4,20.9,21.4,20.9,0,0,0,0,0,0,0,0
1993,February,20,17.4,21,20.8,21,21.2,21,20.7,21.1,0,0,0,0,0,0,0,0
1993,February,21,18,20.8,21.6,21.4,21.6,20.6,21.4,21.4,0,0,0,0,0,0,0,0
1993,February,22,18.2,20.8,20.7,21.3,21,20.6,21.2,21.3,0,0,0,0,0,0,0,0
1993,February,23,18.6,20.3,20.6,21.4,22.2,20.2,20.5,21.4,0,0,0,0,0,0,0,0
1993,February,24,18.4,20.4,20.6,21.4,21.8,20.2,21.5,21.6,0,0,0,0,0,0,0,0
1993,February,25,20,20.6,21.4,21.3,23.2,20.4,21.2,21.4,0,0,0,0,0,0,0,0
1993,February,26,19.9,20.6,21.4,21.4,22.2,20.6,21.2,21.4,0,0,0,0,0,0,0,0
1993,February,27,18.4,21.4,22,21.4,21,21.2,21.9,21.5,0,0,0,0,0,0,0,0
1993,February,28,17.6,21.6,22.2,21.6,20.6,21.4,21.9,21.6,0,0,0,0,0,0,0,0
1993,March,1,17.8,21.2,22,21.7,20.6,21,21.8,21.8,0,0,0,0,0,0,0,0
1993,March,2,18.2,21.4,21.2,21.6,20.2,21.3,21,21.7,0,0,0,0,0,0,0,0
1993,March,3,19.4,22,22.1,21.9,21.4,21.8,22.4,21.9,0,0,0,0,0,0,0,0
1993,March,4,19,22.4,22.4,22,20.6,22.2,22.1,22.1,0,0,0,0,0,0,0,0
1993,March,5,19.6,22.6,23,22.2,22.4,22.4,22.8,22.2,0,0,0,0,0,0,0,0
1993,March,6,20.2,22.6,22.6,22.3,21.4,22.4,22.5,22.4,0,0,0,0,0,0,0,0
1993,March,7,20,21.8,22.4,22.4,22.4,21.6,22.2,22.4,0,0,0,0,0,0,0,0
1993,March,8,17.8,21.4,22.4,22.3,20,21.2,22,22.3,0,0,0,0,0,0,0,0
1993,March,9,17.4,20.8,21.8,22.3,20,20.4,20.7,22.3,0,0,0,0,0,0,0,0
1993,March,10,18.2,20.6,21.6,22.2,20.6,20.4,21.4,22.2,0,0,0,0,0,0,0,0
1993,March,11,19,20.8,22,22.2,21.6,20.6,21.5,22.2,0,0,0,0,0,0,0,0
1993,March,12,19,20.6,22,22,20.8,21.2,21.8,22,0,0,0,0,0,0,0,0
1993,March,13,19.8,21,22,22.2,21.1,21,21.8,22.2,0,0,0,0,0,0,0,0
1993,March,14,18.6,20.6,21.5,22,22,20.8,21.8,22,0,0,0,0,0,0,0,0
1993,March,15,17,20.8,21.8,22.2,20,21.8,22.4,22.2,0,0,0,0,0,0,0,0
1993,March,16,18,21,22,22,21.4,20.8,21.4,22.4,0,0,0,0,0,0,0,0
1993,March,17,19.1,21.2,22,22.2,20.4,21,21.8,22.2,0,0,0,0,0,0,0,0
1993,March,18,17.8,21.6,22.4,22.2,19.2,21.6,22.2,22.2,0,0,0,0,0,0,0,0
1993,March,19,18.2,22.2,22.8,22.4,20.6,22,22.4,22.4,0,0,0,0,0,0,0,0
1993,March,20,18,22.6,22.6,22.4,18.2,22.4,22.8,22.6,0,0,0,0,0,0,0,0
1993,March,21,16.6,22.8,23.2,22.5,19.9,22.8,23,22.5,0,0,0,0,0,0,0,0
1993,March,22,18.2,23,22.6,22.7,20,23,22.6,22.7,0,0,0,0,0,0,0,0
1993,March,23,17.4,23.6,23.5,22.6,20.2,23.8,23.7,22.6,0,0,0,0,0,0,0,0
1993,March,24,16.8,23.6,24,23,19.6,23.4,22.6,23,0,0,0,0,0,0,0,0
1993,March,25,17.6,23.2,23.8,23.1,21,23,23.4,23.2,0,0,0,0,0,0,0,0
1993,March,26,18.2,23.2,22.6,22.6,20.2,23.2,22.6,22.6,0,0,0,0,0,0,0,0
1993,March,27,18.4,23.4,24,23,21,23.2,23.8,23,0,0,0,0,0,0,0,0
1993,March,28,18.2,23.4,22.4,23,20.8,23.6,22.8,23,0,0,0,0,0,0,0,0
1993,March,29,18.1,23.4,24,23.4,22.2,24,24.2,23.4,0,0,0,0,0,0,0,0
1993,March,30,18.2,24.2,24.6,23.4,21.4,24,22.4,22.2,0,0,0,0,0,0,0,0
1993,March,31,18.3,22.1,22.6,22.4,20.7,22.1,22.3,22.4,0,0,0,0,0,0,0,0
1993,April,1,19,21.3,22,23.2,22.2,21.4,21.8,23.2,0,0,0,0,0,0,0,0
1993,April,2,19.2,20.2,21,22.8,22.4,20.4,21,22.6,0,0,0,0,0,0,0,0
1993,April,3,19.4,20,20.6,22.8,22.6,20,20.4,22.5,0,0,0,0,0,0,0,0
1993,April,4,19.4,20.2,21,22.3,23.4,20,21,22.4,0,0,0,0,0,0,0,0
1993,April,5,19.6,19.6,20.4,22,23,19.6,20.4,22,0,0,0,0,0,0,0,0
1993,April,6,20.6,20,20.6,21.8,24.2,20,20.6,21.8,0,0,0,0,0,0,0,0
1993,April,7,20.1,19,20.4,21.8,24.2,20.6,20.2,21.8,0,0,0,0,0,0,0,0
1993,April,8,19.8,19.2,20.4,21.7,23.2,21.4,20.2,21.7,0,0,0,0,0,0,0,0
1993,April,9,20.4,20,20.8,21.6,22.8,20.2,20.6,21.4,0,0,0,0,0,0,0,0
1993,April,10,20,20.4,21.4,21.4,24,22.4,21.2,21.4,0,0,0,0,0,0,0,0
1993,April,11,20.4,20.6,21.4,21.8,24,20.4,21,21.7,0,0,0,0,0,0,0,0
1993,April,12,21.4,20.2,21,21.7,25,20.2,20.8,21.7,0,0,0,0,0,0,0,0
1993,April,13,21.4,19,21,21.7,23.4,19.8,20.9,21.7,0,0,0,0,0,0,0,0
1993,April,14,21.2,19.4,20,21.6,23.4,19.4,20,21.6,0,0,0,0,0,0,0,0
1993,April,15,20.4,19.4,20,21.5,22,20.6,21,21.5,0,0,0,0,0,0,0,0
1993,April,16,19.8,19.4,20.1,21.6,22.8,19.2,19.8,21.3,0,0,0,0,0,0,0,0
1993,April,17,18.2,19.6,20.2,21.3,20.8,19.6,20,21.3,0,0,0,0,0,0,0,0
1993,April,18,20.4,19.4,19.8,20.4,23.2,19.4,19.8,21.2,0,0,0,0,0,0,0,0
1993,April,19,19.6,20,20.2,20.2,22.2,19.8,20.2,20.2,0,0,0,0,0,0,0,0
1993,April,20,18.4,19.6,20.2,21.2,21.4,19.8,20.2,21.1,0,0,0,0,0,0,0,0
1993,April,21,18.2,20.6,20.8,21.2,20.2,20.4,20.6,21.2,0,0,0,0,0,0,0,0
1993,April,22,17.8,19.8,20.4,21.4,20.2,19.8,20.2,21.2,0,0,0,0,0,0,0,0
1993,April,23,18.2,20.2,20.3,21.2,20.4,20.2,20.2,21.2,0,0,0,0,0,0,0,0
1993,April,24,18.8,20.2,20.3,21.2,19.8,20.1,20.2,21.2,0,0,0,0,0,0,0,0
1993,April,25,17.6,19,19.4,21.2,21.6,19,19.4,21.2,0,0,0,0,0,0,0,0
1993,April,26,19.1,19,19.4,21,20.2,19.2,19.4,21,0,0,0,0,0,0,0,0
1993,April,27,17,18.6,19,20.8,18.8,18.6,19,20.7,0,0,0,0,0,0,0,0
1993,April,28,17,18.4,19.2,20.7,17.9,18.8,19.1,20.7,0,0,0,0,0,0,0,0
1993,April,29,18.5,19,19.4,20.6,20,19,19.4,20.6,0,0,0,0,0,0,0,0
1993,April,30,18.2,18,18.6,20.5,20,18.2,18.6,20.5,0,0,0,0,0,0,0,0
1993,May,1,18,18.2,18.8,20.4,19,18.2,18.3,20.4,0,0,0,0,0,0,0,0
1993,May,2,18.4,18.6,19.2,20.6,20.2,18.8,19.6,20.2,0,0,0,0,0,0,0,0
1993,May,3,18.8,19.2,19.8,20.3,19,19.4,19.8,20.4,0,0,0,0,0,0,0,0
1993,May,4,16.4,20.2,20.8,20.5,19.8,20.2,20.4,20.5,0,0,0,0,0,0,0,0
1993,May,5,17.2,21.6,21.6,20.7,19.6,21.6,21.6,20.8,0,0,0,0,0,0,0,0
1993,May,6,17.2,20.3,20.8,21,19.4,20.2,20.4,20.8,0,0,0,0,0,0,0,0
1993,May,7,16.6,19.6,20.2,21,23.4,19.8,20,21,0,0,0,0,0,0,0,0
1993,May,8,16,19.4,20,21,19.6,19.6,19.9,20.9,0,0,0,0,0,0,0,0
1993,May,9,17.6,19,19.6,20,19,19,19.6,20,0,0,0,0,0,0,0,0
1993,May,10,16,17,19,20,18.8,17.6,18.2,20,0,0,0,0,0,0,0,0
1993,May,11,17,19,19.4,20.3,19.4,19.2,19.4,20.3,0,0,0,0,0,0,0,0
1993,May,12,17.6,19.6,19.9,20.4,20.6,19.6,19.8,20.4,0,0,0,0,0,0,0,0
1993,May,13,17.6,20.4,20.4,20.6,19,20.1,20.4,20.6,0,0,0,0,0,0,0,0
