YEAR,Month,Date,ST5-00,ST10-00,ST20-00,ST50-00,ST5-12,ST10-12,ST20-12,ST50-12,ST5-00_interp_flag,ST10-00_interp_flag,ST20-00_interp_flag,ST50-00_interp_flag,ST5-12_interp_flag,ST10-12_interp_flag,ST20-12_interp_flag,ST50-12_interp_flag
1993,January,1,16.2,21, 17.6 ,20.4,20.2,2.4,24,24,0,0,0,0,0,0,0,0
1993,January,2,16.8,20.2, 18.0 ,19.8,20.6,20.4,23.8,23.8,0,0,0,0,0,0,0,0
1993,January,3,18.6,21.5, 19.6 ,21,21.4,21.5,24,24,0,0,0,0,0,0,0,0
1993,January,4,17.4,21.4, 18.8 ,20.8,21.4,21.4,24.1,24.1,0,0,0,0,0,0,0,0
1993,January,5,21.6,21.6, 17.8 ,21.4,18.2,20,24.1,24.1,0,0,0,0,0,0,0,0
1993,January,6,17,21, 19.4 ,20.5,21.2,21.2,24.3,24.3,0,0,0,0,0,0,0,0
1993,January,7,19.6,22.2, 20.6 ,21.8,22.2,22.4,24.3,24.3,0,0,0,0,0,0,0,0
1993,January,8,17.6,21.6, 19.0 ,20.6,21.6,21.6,24.4,24.4,0,0,0,0,0,0,0,0
1993,January,9,18,22.4, 19.4 ,21.8,21.8,21.8,24.6,24.6,0,0,0,0,0,0,0,0
1993,January,10,17.6,22, 19.2 ,21.2,21.8,21.6,24.5,24.5,0,0,0,0,0,0,0,0
1993,January,11,17.8,21.6, 19.2 ,20.8,21.6,21.6,24.4,24.4,0,0,0,0,0,0,0,0
1993,January,12,18.3,22, 19.8 ,21.4,22,21.8,24.6,24.6,0,0,0,0,0,0,0,0
1993,January,13,20,22, 20.8 ,22.4,22.6,22.8,24.6,24.6,0,0,0,0,0,0,0,0
1993,January,14,18.2,22.2, 19.8 ,21.8,22.2,22.2,24.6,24.6,0,0,0,0,0,0,0,0
1993,January,15,19.8,22, 21.0 ,21.8,22.6,22.5,24.7,24.7,0,0,0,0,0,0,0,0
1993,January,16,19.8,22.6, 20.6 ,22.2,22.3,22.6,24.7,24.7,0,0,0,0,0,0,0,0
1993,January,17,18.2,22.2, 19.2 ,22,21.4,21.6,24.4,24.4,0,0,0,0,0,0,0,0
1993,January,18,20,21.2, 21.0 ,21.2,22,22,24.6,24.6,0,0,0,0,0,0,0,0
1993,January,19,18.8,21.6, 19.8 ,21,21.6,21.4,24.5,24.5,0,0,0,0,0,0,0,0
1993,January,20,18.2,20, 19.0 ,20,20.8,20.6,24.3,24.3,0,0,0,0,0,0,0,0
1993,January,21,17.8,20.8, 18.8 ,20.2,21,21,24,24,0,0,0,0,0,0,0,0
1993,January,22,18.2,21.8, 19.4 ,21.2,21.4,21.6,24,24,0,0,0,0,0,0,0,0
1993,January,23,17.2,20.4, 18.4 ,19.8,20.6,20.6,24,24,0,0,0,0,0,0,0,0
1993,January,24,19.8,21, 20.0 ,20.5,21.5,21.3,24,24,0,0,0,0,0,0,0,0
1993,January,25,19.6,22.2, 20.4 ,21.5,21.8,21.8,23.9,23.9,0,0,0,0,0,0,0,0
1993,January,26,19.4,21.6, 20.2 ,21.2,21.6,21.6,23.8,23.8,0,0,0,0,0,0,0,0
1993,January,27,19.4,21.2, 20.4 ,21.2,21.6,21.5,23.8,23.8,0,0,0,0,0,0,0,0
1993,January,28,18.4,21.2, 19.4 ,21,21,21,23.6,23.6,0,0,0,0,0,0,0,0
1993,January,29,17.8,20, 19.0 ,20,21,20.8,23.4,23.4,0,0,0,0,0,0,0,0
1993,January,30,18.6,21.2, 19.5 ,21,21,21,23.3,23.3,0,0,0,0,0,0,0,0
1993,January,31,19,21.8, 19.8 ,21.4,21.2,21.4,23.3,23.3,0,0,0,0,0,0,0,0
1993,February,1,19.2,22, 20.2 ,21.8,22,21.8,23.3,23.3,0,0,0,0,0,0,0,0
1993,February,2,19,22.2, 20.0 ,21.6,21.6,21.6,23.6,23.6,0,0,0,0,0,0,0,0
1993,February,3,19,22.6, 20.0 ,21.8,21.8,21.7,23.5,23.5,0,0,0,0,0,0,0,0
1993,February,4,19.6,23, 20.4 ,22.4,22.4,22.4,23.6,23.6,0,0,0,0,0,0,0,0
1993,February,5,19.2,22.4, 20.6 ,22,22.4,22.2,24,24,0,0,0,0,0,0,0,0
1993,February,6,20.2,22.6, 21.2 ,22.2,22.7,22.4,24.7,24.7,0,0,0,0,0,0,0,0
1993,February,7,19.6,21.8, 20.4 ,21.4,22.2,22.2,24.1,24.1,0,0,0,0,0,0,0,0
1993,February,8,18,20.2, 19.0 ,20,20.8,20.6,24.1,24.1,0,0,0,0,0,0,0,0
1993,February,9,17,19.8, 17.8 ,19.2,19.3,19.6,23.6,23.6,0,0,0,0,0,0,0,0
1993,February,10,18.8,20.6, 19.4 ,20.4,20.5,20.6,23.1,23.1,0,0,0,0,0,0,0,0
1993,February,11,18.5,19.6, 19.2 ,20,20.8,20.6,23.2,23.2,0,0,0,0,0,0,0,0
1993,February,12,18,20.8, 18.8 ,20.2,21.2,21.4,23,23,0,0,0,0,0,0,0,0
1993,February,13,17.8,20.8, 18.8 ,20.2,20.6,20.4,22.7,22.7,0,0,0,0,0,0,0,0
1993,February,14,19,21.2, 20.0 ,21.2,21.2,21.5,23,23,0,0,0,0,0,0,0,0
1993,February,15,18.4,22.6, 19.8 ,21.8,21.6,21.6,23.2,23.2,0,0,0,0,0,0,0,0
1993,February,16,18,21.8, 19.2 ,21.2,21.6,21.6,23.4,23.4,0,0,0,0,0,0,0,0
1993,February,17,18.6,22.8, 19.8 ,22.2,21.8,21.8,23.6,23.6,0,0,0,0,0,0,0,0
1993,February,18,18.8,23.4, 20.0 ,22.4,22,22.2,23.8,23.8,0,0,0,0,0,0,0,0
1993,February,19,18.2,22.4, 19.6 ,21.8,20,22.8,23.8,23.8,0,0,0,0,0,0,0,0
1993,February,20,18.6,22.2, 20.0 ,21.8,22.2,21.8,24,24,0,0,0,0,0,0,0,0
1993,February,21,17.4,27, 19.0 ,21.4,21.6,21.6,24.2,24.2,0,0,0,0,0,0,0,0
1993,February,22,17.6,22.2, 19.2 ,21.4,21.6,21.6,24,24,0,0,0,0,0,0,0,0
