YEAR,Month,Date,Station_Name,Region,Agro_Zone,Elevation,ST5-00,ST10-00,ST20-00,ST50-00,ST5-12,ST10-12,ST20-12,ST50-12
1993,January,1,JNK,Southern,Kola,1373,21.79,23.22,24.83,26.16,24.07,23.09,24.54,26.1
1993,January,2,JNK,Southern,Kola,1373,21.54,23.43,24.79,26.52,24.82,23.27,24.48,26.6
1993,January,3,JNK,Southern,Kola,1373,22.02,23.82,25.01,26.3,25.77,23.95,25.14,26.48
1993,January,4,JNK,Southern,Kola,1373,21.78,23.13,25.06,26.27,24.98,23.67,25,26.23
1993,January,5,JNK,Southern,Kola,1373,22.62,24.21,25.71,26.94,25.82,24.65,25.69,27.02
1993,January,6,JNK,Southern,Kola,1373,21.71,23.33,24.81,26.37,24.11,23.62,24.6,26.37
1993,January,7,JNK,Southern,Kola,1373,22.66,24.65,26.12,26.99,26.6,25.12,26.12,26.97
1993,January,8,JNK,Southern,Kola,1373,22.66,24.65,26.12,26.99,26.6,25.12,26.12,26.97
1993,January,9,JNK,Southern,Kola,1373,22.78,25.84,26.99,27.41,26.64,25.6,27.06,27.25
1993,January,10,JNK,Southern,Kola,1373,22.45,24.43,25.94,26.64,26.25,24.82,25.81,26.65
1993,January,11,JNK,Southern,Kola,1373,22.62,25.05,26.15,27.27,26.3,25.09,26.31,27.15
1993,January,12,JNK,Southern,Kola,1373,22.62,25.05,26.15,27.27,26.3,25.09,26.31,27.15
1993,January,13,JNK,Southern,Kola,1373,22.47,24.51,25.97,26.67,26.3,24.85,25.84,26.67
1993,January,14,JNK,Southern,Kola,1373,22.58,25.78,26.61,27.4,26.6,25.57,27.01,27.04
1993,January,15,JNK,Southern,Kola,1373,22.84,25.14,26.58,27.38,27.28,25.65,26.64,27.37
1993,January,16,JNK,Southern,Kola,1373,22.48,24.6,26.04,26.72,26.6,24.82,25.92,26.71
1993,January,17,JNK,Southern,Kola,1373,22.69,24.76,26.02,26.69,26.77,25.21,26.03,26.64
1993,January,18,JNK,Southern,Kola,1373,22.41,23.92,25.81,26.63,25.02,24.29,25.51,26.58
1993,January,19,JNK,Southern,Kola,1373,22.77,24.58,26.09,26.63,25.86,24.97,25.96,26.74
1993,January,20,JNK,Southern,Kola,1373,22.67,23.99,26.1,26.79,26.36,24.93,25.94,26.81
1993,January,21,JNK,Southern,Kola,1373,22.66,24.66,26.05,26.67,26.28,25.02,25.99,26.67
1993,January,22,JNK,Southern,Kola,1373,22.71,24.48,25.88,26.68,26.55,24.81,25.85,26.6
1993,January,23,JNK,Southern,Kola,1373,23.47,25.46,26.79,27.13,28.03,25.9,26.6,27.12
1993,January,24,JNK,Southern,Kola,1373,22.66,24.5,26.1,26.72,26.33,24.97,25.97,26.85
1993,January,25,JNK,Southern,Kola,1373,23.42,25.46,26.77,27.17,27.51,25.96,26.7,27.19
1993,January,26,JNK,Southern,Kola,1373,23.02,24.95,26.38,26.69,26.91,25.37,26.27,26.9
1993,January,27,JNK,Southern,Kola,1373,23.54,25.27,26.62,27.1,27.93,25.77,26.57,27.1
1993,January,28,JNK,Southern,Kola,1373,22.88,25.14,26.56,26.95,27.13,25.57,26.51,26.94
1993,January,29,JNK,Southern,Kola,1373,22.74,24.85,26.21,26.84,27.17,25.3,26.18,26.87
1993,January,30,JNK,Southern,Kola,1373,22.9,25,26.53,26.86,27.15,25.41,26.32,26.76
1993,January,31,JNK,Southern,Kola,1373,23.75,25.88,27.01,27.29,27.78,26.17,26.97,27.32
1993,February,1,JNK,Southern,Kola,1373,23.78,26.03,27.12,27.4,28.15,26.37,27.06,27.43
1993,February,2,JNK,Southern,Kola,1373,24.01,26.05,27.12,27.37,28.06,26.41,27.05,27.42
1993,February,3,JNK,Southern,Kola,1373,23.65,25.51,26.83,27.24,27.73,26.02,26.74,27.26
1993,February,4,JNK,Southern,Kola,1373,23.72,25.49,26.75,27.16,27.69,25.97,26.7,27.22
1993,February,5,JNK,Southern,Kola,1373,24.16,26.19,27.35,27.54,28.09,26.52,27.29,27.51
1993,February,6,JNK,Southern,Kola,1373,24.82,26.87,27.92,28.02,28.75,27.08,27.87,28.03
1993,February,7,JNK,Southern,Kola,1373,24.11,26,27.05,27.61,27.14,26.16,27.02,27.56
1993,February,8,JNK,Southern,Kola,1373,22.67,24.28,25.58,26.43,26.04,24.48,25.53,26.4
1993,February,9,JNK,Southern,Kola,1373,22.41,24.13,25.86,26.8,25.26,24.45,25.5,26.7
1993,February,10,JNK,Southern,Kola,1373,23.04,24.68,26.13,26.71,26.71,25.18,26.03,26.95
1993,February,11,JNK,Southern,Kola,1373,22.96,25.14,26.45,26.9,27.15,25.5,26.39,26.91
1993,February,12,JNK,Southern,Kola,1373,23.78,25.87,26.94,27.26,27.59,26.17,26.9,27.25
1993,February,13,JNK,Southern,Kola,1373,24.26,26.47,27.4,27.63,28.38,26.62,27.36,27.6
1993,February,14,JNK,Southern,Kola,1373,23.51,25.58,26.91,27.27,28.59,26.04,26.84,27.2
1993,February,15,JNK,Southern,Kola,1373,23.19,25.19,26.38,27,26.57,25.53,26.31,26.98
1993,February,16,JNK,Southern,Kola,1373,23.97,25.75,26.95,27.09,27.53,26.05,26.85,27.07
1993,February,17,JNK,Southern,Kola,1373,24.66,26.22,27.21,28.03,26.2,25.88,26.88,27.46
1993,February,18,JNK,Southern,Kola,1373,21.7,23.15,24.64,26.13,24,23.43,24.52,26.27
1993,February,19,JNK,Southern,Kola,1373,23.8,25.81,26.84,27.25,26.52,25.8,26.8,27.37
1993,February,20,JNK,Southern,Kola,1373,23.06,24.74,26.02,26.98,24.71,24.83,25.81,27.01
1993,February,21,JNK,Southern,Kola,1373,22.74,24.51,25.03,26.24,26.19,24.55,25.54,26.08
1993,February,22,JNK,Southern,Kola,1373,22.33,23.56,24.8,26.23,24.73,23.75,24.55,26.08
1993,February,23,JNK,Southern,Kola,1373,21.83,23.22,24.86,26.32,25.39,23.73,24.72,26.32
1993,February,24,JNK,Southern,Kola,1373,22.31,24.03,25.51,26.77,23.57,24.05,25.27,26.67
1993,February,25,JNK,Southern,Kola,1373,22.44,24.15,25.41,26.44,25.35,24.65,25.49,26.62
1993,February,26,JNK,Southern,Kola,1373,22.13,24.02,25.04,26.55,24.55,23.5,24.64,26.41
1993,February,27,JNK,Southern,Kola,1373,22.07,23.72,25.13,26.33,24.88,23.9,25.15,26.52
1993,February,28,JNK,Southern,Kola,1373,22.58,24.34,25.85,26.73,25.86,24.77,25.85,26.75
1993,March,1,JNK,Southern,Kola,1373,22.3,24.06,25.69,26.97,24.97,24.26,25.23,26.76
1993,March,2,JNK,Southern,Kola,1373,21.7,23.67,24.95,26.59,23.89,23.57,24.59,26.52
1993,March,3,JNK,Southern,Kola,1373,22.37,24.16,25.64,26.74,25.52,24.55,25.51,26.7
1993,March,4,JNK,Southern,Kola,1373,22.67,24.62,26.01,26.61,26.3,25.01,25.9,26.62
1993,March,5,JNK,Southern,Kola,1373,22.35,24.73,25.6,26.85,24.28,24.34,25.38,26.81
1993,March,6,JNK,Southern,Kola,1373,22.03,24.06,25.61,26.76,25.5,24.41,25.39,26.77
1993,March,7,JNK,Southern,Kola,1373,22.28,24.13,25.23,26.77,25.06,24.19,25.18,26.56
1993,March,8,JNK,Southern,Kola,1373,22.71,24.64,25.75,26.95,24.63,24.62,25.42,26.85
1993,March,9,JNK,Southern,Kola,1373,22.98,24.74,26.03,26.89,26.57,25.12,25.85,26.84
1993,March,10,JNK,Southern,Kola,1373,22.69,24.77,26.31,27.01,27.09,25.25,26.17,27.11
1993,March,11,JNK,Southern,Kola,1373,22.43,23.9,24.75,26.38,25.41,24.39,25.04,26.17
1993,March,12,JNK,Southern,Kola,1373,21.85,23.9,24.91,26.84,24.26,23.68,24.85,26.46
1993,March,13,JNK,Southern,Kola,1373,22.26,24.12,25.64,26.55,25.34,24.3,25.31,26.68
1993,March,14,JNK,Southern,Kola,1373,22.67,24.39,25.78,26.88,24.82,24.52,25.68,26.64
1993,March,15,JNK,Southern,Kola,1373,22.28,24.01,25.84,26.66,24.71,24.45,25.6,26.49
1993,March,16,JNK,Southern,Kola,1373,23.05,24.97,26.37,26.77,26.98,25.38,26.33,26.85
1993,March,17,JNK,Southern,Kola,1373,23.24,25.05,26.34,26.89,25.89,25.39,26.24,26.9
1993,March,18,JNK,Southern,Kola,1373,22.86,24.7,26.07,26.86,25.37,24.96,25.92,26.81
