YEAR,Month,Date,ST5-00,ST10-00,ST20-00,ST50-00,ST5-12,ST10-12,ST20-12,ST50-12,ST5-00_interp_flag,ST10-00_interp_flag,ST20-00_interp_flag,ST50-00_interp_flag,ST5-12_interp_flag,ST10-12_interp_flag,ST20-12_interp_flag,ST50-12_interp_flag
1993,January,1,24.5,25.1,25.5,25.3,24.5,25.1,25.5,25.3,0,0,0,0,0,0,0,0
1993,January,2,24.5,25.2,25.5,25.4,24.6,25.2,25.5,25.4,0,0,0,0,0,0,0,0
1993,January,3,24.6,25.3,25.5,25.4,25,25.3,25.5,25.4,0,0,0,0,0,0,0,0
1993,January,4,24.7,25.2,25.5,25.5,24.7,25.2,25.5,25.5,0,0,0,0,0,0,0,0
1993,January,5,24.6,25.2,25.5,25.5,24.7,25.2,25.5,25.5,0,0,0,0,0,0,0,0
1993,January,6,24.6,25.2,25.6,25.4,24.8,25.2,25.6,25.4,0,0,0,0,0,0,0,0
1993,January,7,24.6,25.3,25.6,25.4,24.9,25.3,25.6,25.4,0,0,0,0,0,0,0,0
1993,January,8,24.6,25.4,25.6,25.6,24.9,25.4,25.6,25.6,0,0,0,0,0,0,0,0
1993,January,9,24.5,25.4,25.7,25.6,24.9,25.4,25.7,25.6,0,0,0,0,0,0,0,0
1993,January,10,24.6,25.4,25.6,25.6,25.1,25.4,25.6,25.6,0,0,0,0,0,0,0,0
1993,January,11,24.6,25.4,25.7,25.6,25,25.5,25.7,25.6,0,0,0,0,0,0,0,0
1993,January,12,24.6,25.5,25.8,25.7,24.9,25.5,25.8,25.7,0,0,0,0,0,0,0,0
1993,January,13,24.6,25.5,23.4,25.6,25.1,25.5,25.8,25.6,0,0,0,0,0,0,0,0
1993,January,14,24.7,25.5,25.8,25.7,24.8,25.5,25.8,25.7,0,0,0,0,0,0,0,0
1993,January,15,24.7,25.5,25.8,25.7,24.7,25.6,25.8,25.7,0,0,0,0,0,0,0,0
1993,January,16,24.2,25.7,25.9,25.6,24.9,25.7,25.9,25.6,0,0,0,0,0,0,0,0
1993,January,17,24.8,25.6,25.8,25.8,25.3,25.6,25.8,25.8,0,0,0,0,0,0,0,0
1993,January,18,25.1,25.6,25.8,25.9,25.4,25.6,25.8,25.9,0,0,0,0,0,0,0,0
1993,January,19,25.6,25.6,25.9,26,25.5,25.7,25.9,26,0,0,0,0,0,0,0,0
1993,January,20,25.7,25.8,26,26,25.7,25.8,26,26,0,0,0,0,0,0,0,0
1993,January,21,25.8,25.9,26.1,26.1,26.2,25.9,26.1,26.1,0,0,0,0,0,0,0,0
1993,January,22,26,25.9,26.1,26,26.4,25.9,26.1,26,0,0,0,0,0,0,0,0
1993,January,23,26.2,26,26.2,26.2,26.1,26,26.2,26.2,0,0,0,0,0,0,0,0
1993,January,24,26.1,26.2,26.3,26.3,26.1,26.2,26.3,26.3,0,0,0,0,0,0,0,0
1993,January,25,26.1,26.3,26.5,26.4,26.3,26.3,26.4,26.4,0,0,0,0,0,0,0,0
1993,January,26,26.2,26.2,26.5,26.5,26.2,26.3,26.5,26.5,0,0,0,0,0,0,0,0
1993,January,27,26.3,26.3,26.5,26.5,26.3,26.4,26.5,26.5,0,0,0,0,0,0,0,0
1993,January,28,26.5,26.4,26.5,26.5,26.9,26.4,26.5,26.5,0,0,0,0,0,0,0,0
1993,January,29,26.8,26.3,26.6,26.7,26.8,26.3,26.6,26.7,0,0,0,0,0,0,0,0
1993,January,30,26.9,26.5,26.7,26.7,27.1,26.5,26.7,26.7,0,0,0,0,0,0,0,0
1993,January,31,26.8,26.5,26.7,26.8,27,26.6,26.7,26.8,0,0,0,0,0,0,0,0
1993,February,1,26.7,26.5,26.7,26.9,26.7,26.5,26.7,26.9,0,0,0,0,0,0,0,0
1993,February,2,26.4,26.4,26.7,27,26.8,26.5,26.7,27,0,0,0,0,0,0,0,0
1993,February,3,26.3,26.5,26.7,27,26.8,26.5,26.8,27,0,0,0,0,0,0,0,0
1993,February,4,26.6,26.6,26.8,27.1,26.8,26.7,26.8,27.1,0,0,0,0,0,0,0,0
1993,February,5,26.7,26.6,26.8,27,27.3,26.7,26.8,27.1,0,0,0,0,0,0,0,0
1993,February,6,26.8,26.7,27,27.1,27,26.7,27,27.1,0,0,0,0,0,0,0,0
1993,February,7,20.8,26.8,26.9,27.2,26.9,26.8,27,27.2,0,0,0,0,0,0,0,0
1993,February,8,27,26.9,27.2,27.3,27.1,26.9,27.1,27.3,0,0,0,0,0,0,0,0
1993,February,9,26.8,26.9,27.2,27.2,27.1,27,27.2,27.2,0,0,0,0,0,0,0,0
1993,February,10,26.6,27,27.3,27.3,26.9,27,27.3,27.3,0,0,0,0,0,0,0,0
1993,February,11,26.5,27,27.2,27.3,26.7,27,27.2,27.3,0,0,0,0,0,0,0,0
