YEAR,Month,Date,Region,Agro_Zone,Elevation, ST5-00 , ST10-00 , ST20-00 , ST50-00 , ST5-12 , ST10-12 , ST20-12 , ST50-12 
1993,January,1,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,2,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,3,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,4,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,5,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,6,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,7,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,8,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,9,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,10,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,11,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,12,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,13,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,14,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,15,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,16,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,17,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,18,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,19,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,20,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,21,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,22,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,23,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,24,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,25,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,26,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,27,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,28,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,29,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,30,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,January,31,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,February,1,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,February,2,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,February,3,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,February,4,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,February,5,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,February,6,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,February,7,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,February,8,Northwest,Dega,3084,16.22,18.2,16.96,20.33,19.1,19.22,20.26,20
1993,February,9,Northwest,Dega,3084,17.3,18.79,17.51,20.36,19.09,19.42,20.06,20.26
1993,February,10,Northwest,Dega,3084,16.58,18.52,17.15,19.75,18.21,18.77,19.56,19.78
1993,February,11,Northwest,Dega,3084,16.43,18.21,17.08,19.68,18.29,19.1,19.8,19.61
1993,February,12,Northwest,Dega,3084,16.68,18.29,17.04,19.99,18.57,18.87,19.69,20.01
1993,February,13,Northwest,Dega,3084,16.91,18.74,17.52,20.58,19.67,19.72,20.39,20.47
1993,February,14,Northwest,Dega,3084,16.8,18.66,17.22,20.35,19.24,19.55,20.21,20.4
1993,February,15,Northwest,Dega,3084,16.71,18.59,17.14,19.51,18.17,18.87,19.35,19.39
1993,February,16,Northwest,Dega,3084,16.35,18.45,17.11,19.65,17.92,19.13,19.59,19.6
1993,February,17,Northwest,Dega,3084,17.17,18.72,17.63,20.14,18.64,19.34,19.93,20.15
1993,February,18,Northwest,Dega,3084,16.59,18.32,17.11,19.76,18.08,19.05,20.03,19.75
1993,February,19,Northwest,Dega,3084,16.68,18.68,17.08,20.02,19.04,19.32,19.93,20.04
1993,February,20,Northwest,Dega,3084,16.28,18.04,16.63,19.86,18.36,18.98,19.81,19.77
1993,February,21,Northwest,Dega,3084,16.72,18.99,17.32,19.97,18.26,19.42,19.74,19.81
1993,February,22,Northwest,Dega,3084,17.01,18.39,17.07,19.98,18.44,18.74,19.29,19.94
1993,February,23,Northwest,Dega,3084,16.46,18.5,16.91,19.83,18.12,19.1,19.56,19.69
1993,February,24,Northwest,Dega,3084,16.26,18.12,16.78,19.88,18.11,19.22,19.72,19.74
1993,February,25,Northwest,Dega,3084,16.6,18.34,17,19.62,18.02,18.92,19.61,19.61
1993,February,26,Northwest,Dega,3084,16.25,18.43,17.08,19.68,18.17,19.17,19.66,19.73
1993,February,27,Northwest,Dega,3084,16.44,17.97,16.63,20.12,19.07,18.92,20.08,20.09
1993,February,28,Northwest,Dega,3084,16.56,18.22,16.82,20.24,18.7,18.96,19.84,20.12
1993,March,1,Northwest,Dega,3084,16.35,18.25,16.85,20.15,18.67,19.33,19.89,19.94
1993,March,2,Northwest,Dega,3084,16.38,18.09,16.74,20.02,18.79,19.12,19.88,19.86
1993,March,3,Northwest,Dega,3084,16.41,18.3,16.94,19.88,18.28,19.24,19.65,19.77
1993,March,4,Northwest,Dega,3084,16.6,18.57,16.94,20.24,18.62,19.24,19.83,20.01
1993,March,5,Northwest,Dega,3084,16.41,18.1,16.66,19.97,18.55,19.18,19.84,19.8
1993,March,6,Northwest,Dega,3084,16.43,18.36,17.02,20,18.52,19.34,19.76,19.83
1993,March,7,Northwest,Dega,3084,16.54,18.55,17.09,19.87,17.93,19.1,19.59,19.74
1993,March,8,Northwest,Dega,3084,16.3,18.16,16.84,20.06,18.69,19.34,19.89,19.92
1993,March,9,Northwest,Dega,3084,16.27,18.19,16.84,19.98,18.51,19.32,19.77,19.79
1993,March,10,Northwest,Dega,3084,16.48,18.17,16.73,20.17,19.01,19.11,19.99,20.12
1993,March,11,Northwest,Dega,3084,16.41,18.1,16.66,19.97,18.55,19.18,19.84,19.8
