YEAR,Month,Date,Station_Name,Region,Agro_Zone,Elevation, ST5-00 , ST10-00 , ST20-00 , ST50-00 , ST5-12 , ST10-12 , ST20-12 , ST50-12 
1993,January,1,MTR,Eastern,Kola,952,25.17,22.79,26.91,29.06,38.88,28.94,26.48,28.88
1993,January,2,MTR,Eastern,Kola,952,22.86,23.46,27.76,30.33,36.11,31.05,30.95,30.16
1993,January,3,MTR,Eastern,Kola,952,25.35,24.87,29.11,31.16,41.2,30.68,29.11,31.7
1993,January,4,MTR,Eastern,Kola,952,25.85,24.89,29.72,30.86,39.74,28.73,30.14,31.16
1993,January,5,MTR,Eastern,Kola,952,26.17,24.22,27.46,29.59,39.27,30.55,27.46,29.59
1993,January,6,MTR,Eastern,Kola,952,27.52,24.78,27.54,29.93,40.68,30.94,28.09,29.98
1993,January,7,MTR,Eastern,Kola,952,26.27,24.99,27.34,30.02,35.79,29.9,27.81,30.21
1993,January,8,MTR,Eastern,Kola,952,23.69,23.19,27.5,29.6,37.47,29.45,27.4,29.66
1993,January,9,MTR,Eastern,Kola,952,21.93,22.07,26.43,29.85,33.41,30.2,27.27,29.78
1993,January,10,MTR,Eastern,Kola,952,22.03,22.05,26.44,29.82,33.63,30.09,26.22,29.69
1993,January,11,MTR,Eastern,Kola,952,22.54,21.96,25.81,28.9,36.58,28.36,25.54,28.86
1993,January,12,MTR,Eastern,Kola,952,24.52,22.4,25.76,28.86,37.63,28.83,25.95,28.83
1993,January,13,MTR,Eastern,Kola,952,23.21,23.65,28,30.45,36.02,31.1,31.62,30.21
1993,January,14,MTR,Eastern,Kola,952,26.38,24.72,29.3,31.27,40.27,32.12,29.5,31.31
1993,January,15,MTR,Eastern,Kola,952,27.58,25.5,28.37,30.53,40.3,31.46,28.87,30.54
1993,January,16,MTR,Eastern,Kola,952,26.53,25.45,27.99,30.38,37.15,30.67,28.44,30.49
1993,January,17,MTR,Eastern,Kola,952,28.62,26.09,29.11,31.05,40.91,32.52,29.82,31.55
1993,January,18,MTR,Eastern,Kola,952,26.85,25.71,28.23,29.92,37.14,30.19,28.35,30.45
1993,January,19,MTR,Eastern,Kola,952,23.67,25.48,27.35,30.15,30.98,28.76,27.1,31.29
1993,January,20,MTR,Eastern,Kola,952,23.35,23.99,25.82,29.66,27.22,26.97,26.07,29.82
1993,January,21,MTR,Eastern,Kola,952,25.52,23.99,26.97,29.41,34.54,28.52,27.09,29.49
1993,January,22,MTR,Eastern,Kola,952,26.1,24.97,27.32,29.52,35.01,29.62,27.76,29.95
1993,January,23,MTR,Eastern,Kola,952,25.45,23.54,26.8,29.34,37.68,30.2,27.06,29.3
1993,January,24,MTR,Eastern,Kola,952,27.2,25.12,28.44,30.42,40.59,31.74,28.62,30.45
1993,January,25,MTR,Eastern,Kola,952,27.65,25.26,28.45,30.5,41.27,31.73,28.62,30.51
1993,January,26,MTR,Eastern,Kola,952,27.32,25.5,28.88,31.04,41.19,32.39,29.1,31.24
1993,January,27,MTR,Eastern,Kola,952,27.08,25.03,28.44,30.41,40.83,31.88,28.56,30.44
1993,January,28,MTR,Eastern,Kola,952,24.68,23.77,29.34,31.13,36.92,29.18,29.36,31.16
1993,January,29,MTR,Eastern,Kola,952,23.01,23.42,27.5,29.74,36.44,29.68,27.78,29.89
1993,January,30,MTR,Eastern,Kola,952,26.25,23.84,27.3,29.71,39.69,30.71,27.63,29.91
1993,January,31,MTR,Eastern,Kola,952,26.03,24.45,27.69,30.09,39.12,30.91,27.86,30.17
1993,February,1,MTR,Eastern,Kola,952,27.87,25.71,29.27,31.23,41.88,33.4,29.53,31.4
1993,February,2,MTR,Eastern,Kola,952,25.96,26.43,29.72,31.14,36.19,31.6,29.71,31.68
1993,February,3,MTR,Eastern,Kola,952,26.06,25.87,28.67,30.99,36.66,31.37,28.97,31.22
1993,February,4,MTR,Eastern,Kola,952,27.17,25.89,28.09,30.8,37.63,31.14,28.85,31.2
1993,February,5,MTR,Eastern,Kola,952,29.37,28.46,29.37,31.49,42.56,33.16,30.47,32.33
1993,February,6,MTR,Eastern,Kola,952,25.1,24.63,26,30.16,32.78,28.99,26.78,30.59
1993,February,7,MTR,Eastern,Kola,952,23.19,24.16,25.8,29.11,29.59,26.55,26.21,29.28
1993,February,8,MTR,Eastern,Kola,952,23.83,24.66,27.31,29.71,27.62,28.47,27.26,31.05
1993,February,9,MTR,Eastern,Kola,952,23.07,23.2,24.83,28.32,29.48,26.43,24.99,28.36
1993,February,10,MTR,Eastern,Kola,952,27.46,24.69,27.55,29.69,40.04,30.51,27.86,29.8
1993,February,11,MTR,Eastern,Kola,952,26.08,25.66,27.66,30.29,35.16,30.14,28.02,30.53
1993,February,12,MTR,Eastern,Kola,952,26.47,25.19,27.75,30.27,36.85,30.12,27.98,30.71
1993,February,13,MTR,Eastern,Kola,952,26.39,25.11,27.7,30.16,36.74,29.95,28.03,30.48
1993,February,14,MTR,Eastern,Kola,952,26.92,25.58,27.9,30.28,37.62,30.34,28.28,30.7
1993,February,15,MTR,Eastern,Kola,952,27.18,25.89,27.68,30.39,36.46,30.59,28.26,31.22
1993,February,16,MTR,Eastern,Kola,952,22.41,22.88,25.25,28.49,26.74,25.79,25.27,28.53
1993,February,17,MTR,Eastern,Kola,952,26.07,24.91,27.55,28.93,35.8,29.29,28.06,31.23
1993,February,18,MTR,Eastern,Kola,952,25.31,24.49,27.27,29.52,32.51,29.48,27.66,29.96
1993,February,19,MTR,Eastern,Kola,952,26.51,25.44,27.78,30.21,36.91,30.31,28.09,30.47
1993,February,20,MTR,Eastern,Kola,952,26.13,24.92,27.22,30.75,34.61,30.37,27.72,31.15
1993,February,21,MTR,Eastern,Kola,952,24.83,24.81,27,29.95,33.46,30.32,27.25,30.22
1993,February,22,MTR,Eastern,Kola,952,24.46,23.52,25.66,28.55,30.72,27.69,26.34,28.56
1993,February,23,MTR,Eastern,Kola,952,24.28,24.84,27.13,29.9,32.26,29.27,27.54,30.18
1993,February,24,MTR,Eastern,Kola,952,20.9,21.68,23.74,28.12,24.84,23.49,24,27.92
1993,February,25,MTR,Eastern,Kola,952,24.62,24.43,26.79,29.56,32.5,28.19,27,29.54
1993,February,26,MTR,Eastern,Kola,952,23.14,23.97,26.05,28.86,27.52,27.48,26.15,28.95
1993,February,27,MTR,Eastern,Kola,952,23.92,24.23,27.04,29.82,30.5,27.2,26.99,29.82
1993,February,28,MTR,Eastern,Kola,952,25.07,25.27,27.45,30.11,32.31,29.52,27.79,30.69
1993,March,1,MTR,Eastern,Kola,952,25.25,25.06,27.24,30.55,30.43,29.82,27.78,31.41
1993,March,2,MTR,Eastern,Kola,952,23.91,24.43,27.08,29.65,30.42,26.98,27.13,29.53
1993,March,3,MTR,Eastern,Kola,952,24.84,23.95,26.54,28.91,34.69,28.29,26.73,29.02
1993,March,4,MTR,Eastern,Kola,952,27,24.86,27.52,29.53,38.92,29.9,27.73,29.66
1993,March,5,MTR,Eastern,Kola,952,26.88,25.55,28.05,30.69,37.44,30.81,28.39,30.68
1993,March,6,MTR,Eastern,Kola,952,26.1,25.41,27.42,29.93,35.26,30.19,27.94,29.99
1993,March,7,MTR,Eastern,Kola,952,25.6,25.8,27.46,30.38,34.95,29.38,27.78,30.41
1993,March,8,MTR,Eastern,Kola,952,24.87,25.02,26.98,30.31,31.73,29.27,28,30.8
1993,March,9,MTR,Eastern,Kola,952,23.94,24.37,27.33,30.13,30.8,27.84,27.15,29.85
1993,March,10,MTR,Eastern,Kola,952,25.57,24.51,27.3,29.59,33.17,29.54,27.89,29.92
1993,March,11,MTR,Eastern,Kola,952,26.47,24.31,27.34,29.55,39.19,30.07,27.39,29.63
1993,March,12,MTR,Eastern,Kola,952,25.33,23.62,26.95,29.44,38.86,30.05,27.12,29.46
1993,March,13,MTR,Eastern,Kola,952,25.23,23,26.42,29.03,39.64,29.15,26.6,29.01
1993,March,14,MTR,Eastern,Kola,952,24.47,22.62,25.83,28.85,39.02,28.74,25.95,28.82
1993,March,15,MTR,Eastern,Kola,952,25.87,23.08,26.86,29.34,40,30.05,27.08,29.33
1993,March,16,MTR,Eastern,Kola,952,27.17,25.11,28.45,30.39,40.63,31.52,28.63,30.43
1993,March,17,MTR,Eastern,Kola,952,26.87,25.6,28.61,31.3,39.74,32.6,29.43,31.4
1993,March,18,MTR,Eastern,Kola,952,27.39,25.62,28.78,30.74,40.58,31.11,28.73,30.7
1993,March,19,MTR,Eastern,Kola,952,27.77,26.51,29.59,31.42,39.73,33.2,29.88,31.52
1993,March,20,MTR,Eastern,Kola,952,28.92,26.85,29.94,31.34,40.29,32.76,30.01,31.57
1993,March,21,MTR,Eastern,Kola,952,24.83,24.78,27.98,30.32,34.03,29.98,28.73,30.6
1993,March,22,MTR,Eastern,Kola,952,26.97,24.58,27.2,29.62,38.94,29.92,27.71,29.73
1993,March,23,MTR,Eastern,Kola,952,26.08,24.94,27.37,30.49,35.14,29.56,27.8,30.66
1993,March,24,MTR,Eastern,Kola,952,26.9,24.8,27.8,30.27,38.3,30.03,28.39,30.45
1993,March,25,MTR,Eastern,Kola,952,26.7,24.9,27.67,30.22,38.32,29.59,28.19,30.36
1993,March,26,MTR,Eastern,Kola,952,28.28,25.42,28.78,30.57,39.85,31.28,28.87,30.49
1993,March,27,MTR,Eastern,Kola,952,27.89,26.54,29.57,31.28,40.42,33.24,29.67,31.37
1993,March,28,MTR,Eastern,Kola,952,27.04,25.28,27.78,30.4,37.04,31.03,28.23,31.14
