YEAR,Month,Date,Station_Name,Region,Agro_Zone,Elevation, ST5-00 , ST10-00 , ST20-00 , ST50-00 , ST5-12 , ST10-12 , ST20-12 , ST50-12 
1993,January,1,TUL,Central,Woina Dega,2190,15.7,18.3,19.64,20,17.55,18.3,19.51,20.16
1993,January,2,TUL,Central,Woina Dega,2190,15.55,17.92,18.96,19.71,17.58,17.98,18.9,19.76
1993,January,3,TUL,Central,Woina Dega,2190,14.83,17.53,18.35,19.41,17.01,17.6,18.37,19.61
1993,January,4,TUL,Central,Woina Dega,2190,14.53,17.09,18.28,18.86,16.45,17.2,18.3,19.44
1993,January,5,TUL,Central,Woina Dega,2190,14.28,17.86,18.19,18.78,16.45,17.86,18.32,19.51
1993,January,6,TUL,Central,Woina Dega,2190,14.96,17.44,17.87,19.17,16.36,17.49,18.18,19.47
1993,January,7,TUL,Central,Woina Dega,2190,14.97,17.3,17.64,19.23,17.21,17.28,18.14,19.56
1993,January,8,TUL,Central,Woina Dega,2190,15.25,17.37,18.05,19.04,16.43,17.37,18.05,19.47
1993,January,9,TUL,Central,Woina Dega,2190,15.14,17.41,17.88,19.07,16.82,17.45,18.19,19.48
1993,January,10,TUL,Central,Woina Dega,2190,14.27,17.85,18.19,18.74,16.38,17.86,18.32,19.5
1993,January,11,TUL,Central,Woina Dega,2190,15,17.42,18.33,19.27,16.97,17.47,18.34,19.59
1993,January,12,TUL,Central,Woina Dega,2190,14.65,17.33,18.34,19.16,17.1,17.66,18.39,19.58
1993,January,13,TUL,Central,Woina Dega,2190,15.55,17.92,18.96,19.71,17.58,17.98,18.9,19.76
1993,January,14,TUL,Central,Woina Dega,2190,15.87,18.2,19.23,19.81,17.62,18.19,19.3,20.06
1993,January,15,TUL,Central,Woina Dega,2190,15.62,17.88,19.18,19.72,17.44,18.02,19.21,19.81
1993,January,16,TUL,Central,Woina Dega,2190,14.83,17.53,18.35,19.41,17.01,17.6,18.37,19.61
1993,January,17,TUL,Central,Woina Dega,2190,14.63,16.94,19.08,19.06,16.4,17.08,19.03,19.14
1993,January,18,TUL,Central,Woina Dega,2190,15.23,17.52,19.35,19.6,17.33,17.79,19.34,19.79
1993,January,19,TUL,Central,Woina Dega,2190,14.73,17.54,18.35,19.19,17.11,17.66,18.41,19.56
1993,January,20,TUL,Central,Woina Dega,2190,15.03,17.74,18.39,19.36,17.02,17.72,18.42,19.64
1993,January,21,TUL,Central,Woina Dega,2190,15.13,17.78,18.31,19.27,17.08,17.78,18.32,19.54
1993,January,22,TUL,Central,Woina Dega,2190,15.34,17.42,18.03,19.31,17.48,17.35,18.11,19.57
1993,January,23,TUL,Central,Woina Dega,2190,14.76,17.6,18.06,19.22,16.79,17.69,18.31,19.47
1993,January,24,TUL,Central,Woina Dega,2190,15.02,17.28,17.67,19.25,17.26,17.23,18.07,19.56
1993,January,25,TUL,Central,Woina Dega,2190,14.98,17.11,17.49,18.85,16.16,17.23,18.01,19.23
1993,January,26,TUL,Central,Woina Dega,2190,15.34,17.42,18.03,19.31,17.48,17.35,18.11,19.57
1993,January,27,TUL,Central,Woina Dega,2190,15.21,17.43,18.17,19.23,16.8,17.43,18.24,19.48
1993,January,28,TUL,Central,Woina Dega,2190,14.83,17.63,18.11,19.21,16.97,17.74,18.31,19.46
1993,January,29,TUL,Central,Woina Dega,2190,14.98,17.39,18.32,19.27,16.94,17.46,18.28,19.58
1993,January,30,TUL,Central,Woina Dega,2190,14.92,17.64,18.43,19.4,17.32,17.72,18.45,19.65
1993,January,31,TUL,Central,Woina Dega,2190,15.34,17.53,18.65,19.57,17.32,17.39,18.95,19.76
1993,February,1,TUL,Central,Woina Dega,2190,15.85,17.7,18.19,19.43,17.78,17.73,18.34,19.51
1993,February,2,TUL,Central,Woina Dega,2190,14.31,17.86,18.19,18.82,16.45,17.86,18.32,19.51
1993,February,3,TUL,Central,Woina Dega,2190,15.86,17.91,18.22,19.2,17.7,17.87,18.39,19.31
1993,February,4,TUL,Central,Woina Dega,2190,15.13,17.78,18.31,19.27,17.08,17.78,18.32,19.54
1993,February,5,TUL,Central,Woina Dega,2190,15.11,17.78,18.4,19.33,17.13,17.82,18.42,19.63
1993,February,6,TUL,Central,Woina Dega,2190,15.69,18.05,17.94,19.3,17.62,18.2,18.25,19.12
1993,February,7,TUL,Central,Woina Dega,2190,14.96,17.44,17.87,19.17,16.36,17.49,18.18,19.47
1993,February,8,TUL,Central,Woina Dega,2190,16.19,17.57,18.21,18.99,17.8,17.62,18.7,19.5
1993,February,9,TUL,Central,Woina Dega,2190,14.28,17.86,18.19,18.78,16.45,17.86,18.32,19.51
1993,February,10,TUL,Central,Woina Dega,2190,15.73,17.51,17.28,18.95,17.42,17.67,17.85,18.79
1993,February,11,TUL,Central,Woina Dega,2190,14.53,17.09,18.28,18.86,16.45,17.2,18.3,19.44
1993,February,12,TUL,Central,Woina Dega,2190,15.41,17.51,18.87,19.52,17.33,17.44,18.84,19.63
1993,February,13,TUL,Central,Woina Dega,2190,15.96,18.48,19.57,20.17,17.65,18.45,19.72,20.24
1993,February,14,TUL,Central,Woina Dega,2190,14.73,17.54,18.35,19.19,17.11,17.66,18.41,19.56
1993,February,15,TUL,Central,Woina Dega,2190,15.41,17.51,18.87,19.52,17.33,17.44,18.84,19.63
1993,February,16,TUL,Central,Woina Dega,2190,14.98,17.39,18.32,19.27,16.94,17.46,18.28,19.58
1993,February,17,TUL,Central,Woina Dega,2190,14.52,17.37,17.7,18.77,16.37,17.33,17.96,19.19
1993,February,18,TUL,Central,Woina Dega,2190,16.17,17.39,17.93,18.53,17.61,17.29,18.16,18.96
1993,February,19,TUL,Central,Woina Dega,2190,15.9,17.76,18.24,19.41,17.87,17.85,18.46,19.55
1993,February,20,TUL,Central,Woina Dega,2190,15.21,17.43,18.17,19.23,16.8,17.43,18.24,19.48
