YEAR,Month,Date,Station_Name,Region,Agro_Zone,Elevation, ST5-00 , ST10-00 , ST20-00 , ST50-00 , ST5-12 , ST10-12 , ST20-12 , ST50-12 
1993,January,1,WLK,Central,Woina Dega,1884,18.97,20.6,20.89,22.44,22.93,21.5,21.21,22.42
1993,January,2,WLK,Central,Woina Dega,1884,18.57,19.91,20.49,21.86,21.87,20.58,20.48,21.87
1993,January,3,WLK,Central,Woina Dega,1884,18.35,19.92,20.27,21.73,22.04,20.64,19.99,21.81
1993,January,4,WLK,Central,Woina Dega,1884,17.92,19.96,20,21.47,21.74,20.57,20.03,21.58
1993,January,5,WLK,Central,Woina Dega,1884,16.91,19.44,19.48,21.17,20.98,19.98,19.54,21.2
1993,January,6,WLK,Central,Woina Dega,1884,17.24,19.6,19.61,21.21,21.06,20.23,19.59,21.24
1993,January,7,WLK,Central,Woina Dega,1884,17.97,19.86,20.19,21.45,21.53,20.53,20.15,21.57
1993,January,8,WLK,Central,Woina Dega,1884,16.89,19.95,18.81,21.15,21.39,20.01,18.77,21.15
1993,January,9,WLK,Central,Woina Dega,1884,17.67,19.64,20.03,21.32,20.61,20.23,20.09,21.34
1993,January,10,WLK,Central,Woina Dega,1884,16.72,19.3,19.76,21.12,20.01,19.85,19.81,21.16
1993,January,11,WLK,Central,Woina Dega,1884,16.65,19.01,19.28,21.08,20.38,19.42,19.27,21.07
1993,January,12,WLK,Central,Woina Dega,1884,17.23,19.44,19.83,21.23,20.4,20.13,19.89,21.28
1993,January,13,WLK,Central,Woina Dega,1884,17.24,19.6,19.61,21.21,21.06,20.23,19.59,21.24
1993,January,14,WLK,Central,Woina Dega,1884,17.8,20.05,19.9,21.37,21.82,20.43,19.97,21.41
1993,January,15,WLK,Central,Woina Dega,1884,18.19,19.9,20.09,21.61,22.05,20.54,20.09,21.57
1993,January,16,WLK,Central,Woina Dega,1884,18.2,20.48,20.86,21.99,24.03,21.48,21.02,22.03
1993,January,17,WLK,Central,Woina Dega,1884,17.8,20.05,19.9,21.37,21.82,20.43,19.97,21.41
1993,January,18,WLK,Central,Woina Dega,1884,17.47,19.53,20.04,21.23,20.99,20.19,19.98,21.31
1993,January,19,WLK,Central,Woina Dega,1884,18.29,19.49,20.27,21.55,21.06,20.08,20.24,21.54
1993,January,20,WLK,Central,Woina Dega,1884,17.92,19.96,20,21.47,21.74,20.57,20.03,21.58
1993,January,21,WLK,Central,Woina Dega,1884,16.91,19.43,19.11,21.08,21.7,20.02,19.15,21.1
1993,January,22,WLK,Central,Woina Dega,1884,17.71,19.11,20.06,21.01,20.09,19.67,20.01,21.21
1993,January,23,WLK,Central,Woina Dega,1884,18.66,19.9,20.1,21.85,21.54,20.49,20.17,21.82
1993,January,24,WLK,Central,Woina Dega,1884,18.83,19.91,20.52,21.87,22.31,20.72,20.38,21.85
1993,January,25,WLK,Central,Woina Dega,1884,17.01,19.55,18.62,21.04,21.4,20.03,18.74,21.08
1993,January,26,WLK,Central,Woina Dega,1884,18.4,20.31,20.25,21.73,22.56,20.88,20.22,21.75
1993,January,27,WLK,Central,Woina Dega,1884,16.89,19.95,18.81,21.15,21.39,20.01,18.77,21.15
1993,January,28,WLK,Central,Woina Dega,1884,17.11,19.81,19.62,21.1,21.68,20.29,19.71,21.12
1993,January,29,WLK,Central,Woina Dega,1884,18.27,19.99,20.42,21.67,23.33,20.58,20.46,21.66
1993,January,30,WLK,Central,Woina Dega,1884,17.92,20.17,20.05,21.57,23.86,21.23,20.25,21.59
1993,January,31,WLK,Central,Woina Dega,1884,18.8,20.28,20.36,22.12,22.59,21.06,20.37,22.06
1993,February,1,WLK,Central,Woina Dega,1884,18.92,20.41,20.63,22.18,23.22,21.26,20.68,22.18
1993,February,2,WLK,Central,Woina Dega,1884,19.59,21.01,21.24,22.8,24.24,21.85,21.31,22.86
1993,February,3,WLK,Central,Woina Dega,1884,18.93,19.96,20.51,22,22.61,20.67,20.47,22.06
1993,February,4,WLK,Central,Woina Dega,1884,18.77,19.93,19.96,21.97,22.02,20.68,20.01,21.94
1993,February,5,WLK,Central,Woina Dega,1884,18.95,20.41,20.29,22.52,22.73,21.17,20.39,22.48
1993,February,6,WLK,Central,Woina Dega,1884,19.25,20.25,20.72,21.9,21.36,20.84,20.82,21.91
1993,February,7,WLK,Central,Woina Dega,1884,19.3,20.19,20.72,22.22,22.53,21.01,21.14,22.24
1993,February,8,WLK,Central,Woina Dega,1884,18.69,19.55,20.17,21.6,21.07,20.2,20.16,21.66
1993,February,9,WLK,Central,Woina Dega,1884,18.73,19.99,20.43,21.95,22.02,20.54,20.35,21.95
1993,February,10,WLK,Central,Woina Dega,1884,17.47,19.53,20.04,21.23,20.99,20.19,19.98,21.31
1993,February,11,WLK,Central,Woina Dega,1884,18.94,20.75,20.92,22.21,22.88,21.21,21.01,22.19
1993,February,12,WLK,Central,Woina Dega,1884,18.97,21.04,20.84,22.16,23.05,21.59,20.86,22.23
1993,February,13,WLK,Central,Woina Dega,1884,18.33,20.48,19.7,22.07,22.18,21.07,19.29,21.89
1993,February,14,WLK,Central,Woina Dega,1884,18.35,19.92,20.27,21.73,22.04,20.64,19.99,21.81
1993,February,15,WLK,Central,Woina Dega,1884,17.41,20.61,19.79,21.29,22.02,20.53,19.95,21.31
1993,February,16,WLK,Central,Woina Dega,1884,18.67,19.94,20.43,22.06,22.51,20.79,20.44,22.3
1993,February,17,WLK,Central,Woina Dega,1884,19.76,21.08,21.51,22.74,24.63,22.21,21.59,22.77
1993,February,18,WLK,Central,Woina Dega,1884,18.53,19.55,20.21,21.6,20.94,20.04,20.2,21.69
1993,February,19,WLK,Central,Woina Dega,1884,18.91,20,20.43,21.97,22.17,20.75,20.42,21.88
1993,February,20,WLK,Central,Woina Dega,1884,17.47,19.53,20.04,21.23,20.99,20.19,19.98,21.31
1993,February,21,WLK,Central,Woina Dega,1884,17.49,19.65,19.82,21.78,21.42,20.19,20.02,21.71
